[Query   1] 1 (medrank), 1 (bf), 1(real).
[Query  66] 1 (medrank), 1 (bf), 1(real).
[Query  67] 4 (medrank), 4 (bf), 4(real).
[Query  68] 2 (medrank), 2 (bf), 2(real).
[Query  69] 1 (medrank), 1 (bf), 1(real).
[Query  70] 1 (medrank), 1 (bf), 1(real).
[Query  71] 5 (medrank), 5 (bf), 5(real).
[Query  72] 1 (medrank), 1 (bf), 1(real).
[Query  73] 2 (medrank), 2 (bf), 2(real).
[Query  74] 3 (medrank), 3 (bf), 3(real).
[Query  75] 1 (medrank), 1 (bf), 1(real).
[Query  76] 1 (medrank), 1 (bf), 1(real).
[Query  77] 4 (medrank), 4 (bf), 4(real).
[Query  78] 4 (medrank), 4 (bf), 4(real).
[Query  79] 4 (medrank), 4 (bf), 4(real).
[Query  80] 1 (medrank), 1 (bf), 1(real).
[Query  81] 3 (medrank), 3 (bf), 3(real).
[Query  82] 5 (medrank), 5 (bf), 5(real).
[Query  83] 5 (medrank), 5 (bf), 5(real).
[Query  84] 3 (medrank), 3 (bf), 3(real).
[Query  85] 3 (medrank), 3 (bf), 3(real).
[Query  86] 5 (medrank), 5 (bf), 5(real).
[Query  87] 5 (medrank), 5 (bf), 5(real).
[Query  88] 4 (medrank), 4 (bf), 4(real).
[Query  89] 4 (medrank), 4 (bf), 4(real).
[Query  90] 3 (medrank), 3 (bf), 3(real).
[Query  91] 3 (medrank), 3 (bf), 3(real).
[Query  92] 1 (medrank), 1 (bf), 1(real).
[Query  93] 5 (medrank), 5 (bf), 5(real).
[Query  94] 3 (medrank), 3 (bf), 3(real).
[Query  95] 2 (medrank), 2 (bf), 2(real).
[Query  96] 3 (medrank), 3 (bf), 3(real).
[Query  97] 4 (medrank), 4 (bf), 4(real).
[Query  98] 4 (medrank), 4 (bf), 4(real).
[Query  99] 1 (medrank), 1 (bf), 1(real).
[Query 100] 3 (medrank), 3 (bf), 3(real).
[Query 101] 4 (medrank), 4 (bf), 4(real).
[Query 102] 4 (medrank), 4 (bf), 4(real).
[Query 103] 3 (medrank), 3 (bf), 3(real).
[Query 104] 3 (medrank), 3 (bf), 3(real).
[Query 105] 3 (medrank), 3 (bf), 3(real).
[Query 106] 3 (medrank), 3 (bf), 3(real).
[Query 107] 1 (medrank), 1 (bf), 1(real).
[Query 108] 3 (medrank), 3 (bf), 3(real).
[Query 109] 4 (medrank), 4 (bf), 4(real).
[Query 110] 1 (medrank), 1 (bf), 1(real).
[Query 111] 1 (medrank), 1 (bf), 1(real).
[Query 112] 3 (medrank), 3 (bf), 3(real).
[Query 113] 2 (medrank), 2 (bf), 2(real).
[Query 114] 1 (medrank), 1 (bf), 1(real).
[Query 115] 2 (medrank), 2 (bf), 2(real).
[Query 116] 1 (medrank), 1 (bf), 1(real).
[Query 117] 2 (medrank), 2 (bf), 2(real).
[Query 118] 3 (medrank), 3 (bf), 3(real).
[Query 119] 4 (medrank), 4 (bf), 4(real).
[Query 120] 4 (medrank), 4 (bf), 4(real).
[Query 121] 5 (medrank), 5 (bf), 5(real).
[Query 122] 4 (medrank), 4 (bf), 4(real).
[Query 123] 3 (medrank), 3 (bf), 3(real).
[Query 124] 3 (medrank), 3 (bf), 3(real).
[Query 125] 4 (medrank), 4 (bf), 4(real).
[Query 126] 4 (medrank), 4 (bf), 4(real).
[Query 127] 3 (medrank), 3 (bf), 3(real).
[Query 128] 3 (medrank), 3 (bf), 3(real).
[Query 129] 3 (medrank), 3 (bf), 3(real).
[Query 130] 4 (medrank), 4 (bf), 4(real).
[Query 131] 3 (medrank), 3 (bf), 3(real).
[Query 132] 2 (medrank), 2 (bf), 2(real).
[Query 133] 4 (medrank), 4 (bf), 4(real).
[Query 134] 2 (medrank), 2 (bf), 2(real).
[Query 135] 4 (medrank), 4 (bf), 4(real).
[Query 136] 3 (medrank), 3 (bf), 3(real).
[Query 137] 5 (medrank), 5 (bf), 5(real).
[Query 138] 2 (medrank), 2 (bf), 2(real).
[Query 139] 3 (medrank), 3 (bf), 3(real).
[Query 140] 4 (medrank), 4 (bf), 4(real).
[Query 141] 4 (medrank), 4 (bf), 4(real).
[Query 142] 5 (medrank), 5 (bf), 5(real).
[Query 143] 4 (medrank), 4 (bf), 4(real).
[Query 144] 5 (medrank), 5 (bf), 5(real).
[Query 145] 3 (medrank), 3 (bf), 3(real).
[Query 146] 2 (medrank), 2 (bf), 2(real).
[Query 147] 1 (medrank), 1 (bf), 1(real).
[Query 148] 5 (medrank), 5 (bf), 5(real).
[Query 149] 2 (medrank), 2 (bf), 2(real).
[Query 150] 4 (medrank), 4 (bf), 4(real).
[Query 151] 1 (medrank), 1 (bf), 1(real).
[Query 152] 5 (medrank), 5 (bf), 5(real).
[Query 153] 2 (medrank), 2 (bf), 2(real).
[Query 154] 5 (medrank), 5 (bf), 5(real).
[Query 155] 2 (medrank), 2 (bf), 2(real).
[Query 156] 5 (medrank), 5 (bf), 5(real).
[Query 157] 3 (medrank), 3 (bf), 3(real).
[Query 158] 1 (medrank), 1 (bf), 1(real).
[Query 159] 3 (medrank), 3 (bf), 3(real).
[Query 160] 4 (medrank), 4 (bf), 4(real).
[Query 161] 3 (medrank), 3 (bf), 3(real).
[Query 162] 1 (medrank), 1 (bf), 1(real).
[Query 163] 4 (medrank), 4 (bf), 4(real).
[Query 164] 1 (medrank), 1 (bf), 1(real).
[Query 165] 3 (medrank), 3 (bf), 3(real).
[Query 166] 2 (medrank), 2 (bf), 2(real).
[Query 167] 2 (medrank), 2 (bf), 2(real).
[Query 168] 4 (medrank), 4 (bf), 4(real).
[Query 169] 2 (medrank), 2 (bf), 2(real).
[Query 170] 2 (medrank), 2 (bf), 2(real).
[Query 171] 1 (medrank), 1 (bf), 1(real).
[Query 172] 3 (medrank), 3 (bf), 3(real).
[Query 173] 3 (medrank), 3 (bf), 3(real).
[Query 174] 1 (medrank), 1 (bf), 1(real).
[Query 175] 1 (medrank), 1 (bf), 1(real).
[Query 176] 5 (medrank), 5 (bf), 5(real).
[Query 177] 5 (medrank), 5 (bf), 5(real).
[Query 178] 3 (medrank), 3 (bf), 3(real).
[Query 179] 2 (medrank), 2 (bf), 2(real).
[Query 180] 5 (medrank), 5 (bf), 5(real).
[Query 181] 1 (medrank), 1 (bf), 1(real).
[Query 182] 1 (medrank), 1 (bf), 1(real).
[Query 183] 1 (medrank), 1 (bf), 1(real).
[Query 184] 1 (medrank), 1 (bf), 1(real).
[Query 185] 3 (medrank), 3 (bf), 3(real).
[Query 186] 2 (medrank), 2 (bf), 2(real).
[Query 187] 5 (medrank), 5 (bf), 5(real).
[Query 188] 3 (medrank), 3 (bf), 3(real).
[Query 189] 3 (medrank), 3 (bf), 3(real).
[Query 190] 4 (medrank), 4 (bf), 4(real).
[Query 191] 2 (medrank), 2 (bf), 2(real).
[Query 192] 1 (medrank), 1 (bf), 1(real).
[Query 193] 5 (medrank), 5 (bf), 5(real).
[Query 194] 5 (medrank), 5 (bf), 5(real).
[Query 195] 5 (medrank), 5 (bf), 5(real).
[Query 196] 5 (medrank), 5 (bf), 5(real).
[Query 197] 4 (medrank), 4 (bf), 4(real).
[Query 198] 1 (medrank), 1 (bf), 1(real).
[Query 199] 3 (medrank), 3 (bf), 3(real).
[Query 200] 1 (medrank), 1 (bf), 1(real).
[Query 201] 4 (medrank), 4 (bf), 4(real).
[Query 202] 3 (medrank), 3 (bf), 3(real).
[Query 203] 5 (medrank), 5 (bf), 5(real).
[Query 204] 2 (medrank), 2 (bf), 2(real).
[Query 205] 5 (medrank), 5 (bf), 5(real).
[Query 206] 3 (medrank), 3 (bf), 3(real).
[Query 207] 3 (medrank), 3 (bf), 3(real).
[Query 208] 5 (medrank), 5 (bf), 5(real).
[Query 209] 3 (medrank), 3 (bf), 3(real).
[Query 210] 5 (medrank), 5 (bf), 5(real).
[Query 211] 3 (medrank), 3 (bf), 3(real).
[Query 212] 3 (medrank), 3 (bf), 3(real).
[Query 213] 4 (medrank), 4 (bf), 4(real).
[Query 214] 5 (medrank), 5 (bf), 5(real).
[Query 215] 2 (medrank), 2 (bf), 2(real).
[Query 216] 1 (medrank), 1 (bf), 1(real).
[Query 217] 4 (medrank), 4 (bf), 4(real).
[Query 218] 4 (medrank), 4 (bf), 4(real).
[Query 219] 5 (medrank), 5 (bf), 5(real).
[Query 220] 1 (medrank), 1 (bf), 1(real).
[Query 221] 4 (medrank), 4 (bf), 4(real).
[Query 222] 5 (medrank), 5 (bf), 5(real).
[Query 223] 2 (medrank), 2 (bf), 2(real).
[Query 224] 1 (medrank), 1 (bf), 1(real).
[Query 225] 1 (medrank), 1 (bf), 1(real).
[Query 226] 3 (medrank), 3 (bf), 3(real).
[Query 227] 1 (medrank), 1 (bf), 1(real).
[Query 228] 4 (medrank), 4 (bf), 4(real).
[Query 229] 3 (medrank), 3 (bf), 3(real).
[Query 230] 5 (medrank), 5 (bf), 5(real).
[Query 231] 5 (medrank), 5 (bf), 5(real).
[Query 232] 4 (medrank), 4 (bf), 4(real).
[Query 233] 4 (medrank), 4 (bf), 4(real).
[Query 234] 5 (medrank), 5 (bf), 5(real).
[Query 235] 5 (medrank), 5 (bf), 5(real).
[Query 236] 3 (medrank), 3 (bf), 3(real).
[Query 237] 1 (medrank), 1 (bf), 1(real).
[Query 238] 2 (medrank), 2 (bf), 2(real).
[Query 239] 2 (medrank), 2 (bf), 2(real).
[Query 240] 4 (medrank), 4 (bf), 4(real).
[Query 241] 1 (medrank), 1 (bf), 1(real).
[Query 242] 1 (medrank), 1 (bf), 1(real).
[Query 243] 1 (medrank), 1 (bf), 1(real).
[Query 244] 3 (medrank), 3 (bf), 3(real).
[Query 245] 4 (medrank), 4 (bf), 4(real).
[Query 246] 2 (medrank), 2 (bf), 2(real).
[Query 247] 3 (medrank), 3 (bf), 3(real).
[Query 248] 5 (medrank), 5 (bf), 5(real).
[Query 249] 4 (medrank), 4 (bf), 4(real).
[Query 250] 4 (medrank), 4 (bf), 4(real).
[Query 251] 5 (medrank), 5 (bf), 5(real).
[Query 252] 2 (medrank), 2 (bf), 2(real).
[Query 253] 5 (medrank), 5 (bf), 5(real).
[Query 254] 4 (medrank), 4 (bf), 4(real).
[Query 255] 3 (medrank), 3 (bf), 3(real).
[Query 256] 1 (medrank), 1 (bf), 1(real).
[Query 257] 3 (medrank), 3 (bf), 3(real).
[Query 258] 3 (medrank), 3 (bf), 3(real).
[Query 259] 3 (medrank), 3 (bf), 3(real).
[Query 260] 3 (medrank), 3 (bf), 3(real).
[Query 261] 4 (medrank), 4 (bf), 4(real).
[Query 262] 5 (medrank), 5 (bf), 5(real).
[Query 263] 2 (medrank), 2 (bf), 2(real).
[Query 264] 1 (medrank), 1 (bf), 1(real).
[Query 265] 1 (medrank), 1 (bf), 1(real).
[Query 266] 1 (medrank), 1 (bf), 1(real).
[Query 267] 5 (medrank), 5 (bf), 5(real).
[Query 268] 3 (medrank), 3 (bf), 3(real).
[Query 269] 2 (medrank), 2 (bf), 2(real).
[Query 270] 5 (medrank), 5 (bf), 5(real).
[Query 271] 5 (medrank), 5 (bf), 5(real).
[Query 272] 1 (medrank), 1 (bf), 1(real).
[Query 273] 1 (medrank), 1 (bf), 1(real).
[Query 274] 1 (medrank), 1 (bf), 1(real).
[Query 275] 2 (medrank), 2 (bf), 2(real).
[Query 276] 3 (medrank), 3 (bf), 3(real).
[Query 277] 3 (medrank), 3 (bf), 3(real).
[Query 278] 3 (medrank), 3 (bf), 3(real).
[Query 279] 3 (medrank), 3 (bf), 3(real).
[Query 280] 2 (medrank), 2 (bf), 2(real).
[Query 281] 2 (medrank), 2 (bf), 2(real).
[Query 282] 4 (medrank), 4 (bf), 4(real).
[Query 283] 3 (medrank), 3 (bf), 3(real).
[Query 284] 1 (medrank), 1 (bf), 1(real).
[Query 285] 4 (medrank), 4 (bf), 4(real).
[Query 286] 5 (medrank), 5 (bf), 5(real).
[Query 287] 4 (medrank), 4 (bf), 4(real).
[Query 288] 3 (medrank), 3 (bf), 3(real).
[Query 289] 5 (medrank), 5 (bf), 5(real).
[Query 290] 5 (medrank), 5 (bf), 5(real).
[Query 291] 4 (medrank), 4 (bf), 4(real).
[Query 292] 2 (medrank), 2 (bf), 2(real).
[Query 293] 1 (medrank), 1 (bf), 1(real).
[Query 294] 3 (medrank), 3 (bf), 3(real).
[Query 295] 4 (medrank), 4 (bf), 4(real).
[Query 296] 4 (medrank), 4 (bf), 4(real).
[Query 297] 4 (medrank), 4 (bf), 4(real).
[Query 298] 4 (medrank), 4 (bf), 4(real).
[Query 299] 2 (medrank), 2 (bf), 2(real).
[Query 300] 2 (medrank), 2 (bf), 2(real).
[Query 301] 3 (medrank), 3 (bf), 3(real).
[Query 302] 2 (medrank), 2 (bf), 2(real).
[Query 303] 4 (medrank), 4 (bf), 4(real).
[Query 304] 1 (medrank), 1 (bf), 1(real).
[Query 305] 2 (medrank), 2 (bf), 2(real).
[Query 306] 4 (medrank), 4 (bf), 4(real).
[Query 307] 5 (medrank), 5 (bf), 5(real).
[Query 308] 2 (medrank), 2 (bf), 2(real).
[Query 309] 1 (medrank), 1 (bf), 1(real).
[Query 310] 4 (medrank), 4 (bf), 4(real).
[Query 311] 1 (medrank), 1 (bf), 1(real).
[Query 312] 5 (medrank), 5 (bf), 5(real).
[Query 313] 2 (medrank), 2 (bf), 2(real).
[Query 314] 3 (medrank), 3 (bf), 3(real).
[Query 315] 2 (medrank), 2 (bf), 2(real).
[Query 316] 2 (medrank), 2 (bf), 2(real).
[Query 317] 2 (medrank), 2 (bf), 2(real).
[Query 318] 5 (medrank), 5 (bf), 5(real).
[Query 319] 1 (medrank), 1 (bf), 1(real).
[Query 320] 4 (medrank), 4 (bf), 4(real).
[Query 321] 1 (medrank), 1 (bf), 1(real).
[Query 322] 3 (medrank), 3 (bf), 3(real).
[Query 323] 2 (medrank), 2 (bf), 2(real).
[Query 324] 1 (medrank), 1 (bf), 1(real).
[Query 325] 4 (medrank), 4 (bf), 4(real).
[Query 326] 4 (medrank), 4 (bf), 4(real).
[Query 327] 1 (medrank), 1 (bf), 1(real).
[Query 328] 4 (medrank), 4 (bf), 4(real).
[Query 329] 3 (medrank), 3 (bf), 3(real).
[Query 330] 2 (medrank), 2 (bf), 2(real).
[Query 331] 3 (medrank), 3 (bf), 3(real).
[Query 332] 2 (medrank), 2 (bf), 2(real).
[Query 333] 3 (medrank), 3 (bf), 3(real).
[Query 334] 4 (medrank), 4 (bf), 4(real).
[Query 335] 5 (medrank), 5 (bf), 5(real).
[Query 336] 2 (medrank), 2 (bf), 2(real).
[Query 337] 3 (medrank), 3 (bf), 3(real).
[Query 338] 2 (medrank), 2 (bf), 2(real).
[Query 339] 1 (medrank), 1 (bf), 1(real).
[Query 340] 1 (medrank), 1 (bf), 1(real).
[Query 341] 1 (medrank), 1 (bf), 1(real).
[Query 342] 3 (medrank), 3 (bf), 3(real).
[Query 343] 5 (medrank), 5 (bf), 5(real).
[Query 344] 3 (medrank), 3 (bf), 3(real).
[Query 345] 5 (medrank), 5 (bf), 5(real).
[Query 346] 2 (medrank), 2 (bf), 2(real).
[Query 347] 1 (medrank), 1 (bf), 1(real).
[Query 348] 2 (medrank), 2 (bf), 2(real).
[Query 349] 5 (medrank), 5 (bf), 5(real).
[Query 350] 3 (medrank), 3 (bf), 3(real).
[Query 351] 2 (medrank), 2 (bf), 2(real).
[Query 352] 3 (medrank), 3 (bf), 3(real).
[Query 353] 4 (medrank), 4 (bf), 4(real).
[Query 354] 5 (medrank), 5 (bf), 5(real).
[Query 355] 3 (medrank), 3 (bf), 3(real).
[Query 356] 1 (medrank), 1 (bf), 1(real).
[Query 357] 3 (medrank), 3 (bf), 3(real).
[Query 358] 4 (medrank), 4 (bf), 4(real).
[Query 359] 4 (medrank), 4 (bf), 4(real).
[Query 360] 5 (medrank), 5 (bf), 5(real).
[Query 361] 1 (medrank), 1 (bf), 1(real).
[Query 362] 1 (medrank), 1 (bf), 1(real).
[Query 363] 4 (medrank), 4 (bf), 4(real).
[Query 364] 5 (medrank), 5 (bf), 5(real).
[Query 365] 3 (medrank), 3 (bf), 3(real).
[Query 366] 4 (medrank), 4 (bf), 4(real).
[Query 367] 5 (medrank), 5 (bf), 5(real).
[Query 368] 1 (medrank), 1 (bf), 1(real).
[Query 369] 5 (medrank), 5 (bf), 5(real).
[Query 370] 1 (medrank), 1 (bf), 1(real).
[Query 371] 5 (medrank), 5 (bf), 5(real).
[Query 372] 3 (medrank), 3 (bf), 3(real).
[Query 373] 2 (medrank), 2 (bf), 2(real).
[Query 374] 4 (medrank), 4 (bf), 4(real).
[Query 375] 4 (medrank), 4 (bf), 4(real).
[Query 376] 5 (medrank), 5 (bf), 5(real).
[Query 377] 5 (medrank), 5 (bf), 5(real).
[Query 378] 4 (medrank), 4 (bf), 4(real).
[Query 379] 4 (medrank), 4 (bf), 4(real).
[Query 380] 4 (medrank), 4 (bf), 4(real).
[Query 381] 2 (medrank), 2 (bf), 2(real).
[Query 382] 3 (medrank), 3 (bf), 3(real).
[Query 383] 4 (medrank), 4 (bf), 4(real).
[Query 384] 2 (medrank), 2 (bf), 2(real).
[Query 385] 5 (medrank), 5 (bf), 5(real).
[Query 386] 3 (medrank), 3 (bf), 3(real).
[Query 387] 5 (medrank), 5 (bf), 5(real).
[Query 388] 2 (medrank), 2 (bf), 2(real).
[Query 389] 5 (medrank), 5 (bf), 5(real).
[Query 390] 1 (medrank), 1 (bf), 1(real).
[Query 391] 3 (medrank), 3 (bf), 3(real).
[Query 392] 5 (medrank), 5 (bf), 5(real).
[Query 393] 5 (medrank), 5 (bf), 5(real).
[Query 394] 2 (medrank), 2 (bf), 2(real).
[Query 395] 3 (medrank), 3 (bf), 3(real).
[Query 396] 3 (medrank), 3 (bf), 3(real).
[Query 397] 5 (medrank), 5 (bf), 5(real).
[Query 398] 5 (medrank), 5 (bf), 5(real).
[Query 399] 4 (medrank), 4 (bf), 4(real).
[Query 400] 2 (medrank), 2 (bf), 2(real).
[Query 401] 5 (medrank), 5 (bf), 5(real).
[Query 402] 4 (medrank), 4 (bf), 4(real).
[Query 403] 1 (medrank), 1 (bf), 1(real).
[Query 404] 2 (medrank), 2 (bf), 2(real).
[Query 405] 5 (medrank), 5 (bf), 5(real).
[Query 406] 1 (medrank), 1 (bf), 1(real).
[Query 407] 1 (medrank), 1 (bf), 1(real).
[Query 408] 5 (medrank), 5 (bf), 5(real).
[Query 409] 4 (medrank), 4 (bf), 4(real).
[Query 410] 4 (medrank), 4 (bf), 4(real).
[Query 411] 5 (medrank), 5 (bf), 5(real).
[Query 412] 4 (medrank), 4 (bf), 4(real).
[Query 413] 3 (medrank), 3 (bf), 3(real).
[Query 414] 5 (medrank), 5 (bf), 5(real).
[Query 415] 4 (medrank), 4 (bf), 4(real).
[Query 416] 1 (medrank), 1 (bf), 1(real).
[Query 417] 1 (medrank), 1 (bf), 1(real).
[Query 418] 4 (medrank), 4 (bf), 4(real).
[Query 419] 4 (medrank), 4 (bf), 4(real).
[Query 420] 3 (medrank), 3 (bf), 3(real).
[Query 421] 3 (medrank), 3 (bf), 3(real).
[Query 422] 1 (medrank), 1 (bf), 1(real).
[Query 423] 2 (medrank), 2 (bf), 2(real).
[Query 424] 5 (medrank), 5 (bf), 5(real).
[Query 425] 2 (medrank), 2 (bf), 2(real).
[Query 426] 4 (medrank), 4 (bf), 4(real).
[Query 427] 3 (medrank), 3 (bf), 3(real).
[Query 428] 1 (medrank), 1 (bf), 1(real).
[Query 429] 4 (medrank), 4 (bf), 4(real).
[Query 430] 2 (medrank), 2 (bf), 2(real).
[Query 431] 3 (medrank), 3 (bf), 3(real).
[Query 432] 1 (medrank), 1 (bf), 1(real).
[Query 433] 1 (medrank), 1 (bf), 1(real).
[Query 434] 5 (medrank), 5 (bf), 5(real).
[Query 435] 5 (medrank), 5 (bf), 5(real).
[Query 436] 4 (medrank), 4 (bf), 4(real).
[Query 437] 1 (medrank), 1 (bf), 1(real).
[Query 438] 4 (medrank), 4 (bf), 4(real).
[Query 439] 3 (medrank), 3 (bf), 3(real).
[Query 440] 3 (medrank), 3 (bf), 3(real).
[Query 441] 5 (medrank), 5 (bf), 5(real).
[Query 442] 3 (medrank), 3 (bf), 3(real).
[Query 443] 4 (medrank), 4 (bf), 4(real).
[Query 444] 1 (medrank), 1 (bf), 1(real).
[Query 445] 3 (medrank), 3 (bf), 3(real).
[Query 446] 2 (medrank), 2 (bf), 2(real).
[Query 447] 5 (medrank), 5 (bf), 5(real).
[Query 448] 2 (medrank), 2 (bf), 2(real).
[Query 449] 5 (medrank), 5 (bf), 5(real).
[Query 450] 3 (medrank), 3 (bf), 3(real).
[Query 451] 1 (medrank), 1 (bf), 1(real).
[Query 452] 5 (medrank), 5 (bf), 5(real).
[Query 453] 5 (medrank), 5 (bf), 5(real).
[Query 454] 1 (medrank), 1 (bf), 1(real).
[Query 455] 1 (medrank), 1 (bf), 1(real).
[Query 456] 4 (medrank), 4 (bf), 4(real).
[Query 457] 1 (medrank), 1 (bf), 1(real).
[Query 458] 5 (medrank), 5 (bf), 5(real).
[Query 459] 4 (medrank), 4 (bf), 4(real).
[Query 460] 3 (medrank), 3 (bf), 3(real).
[Query 461] 1 (medrank), 1 (bf), 1(real).
[Query 462] 1 (medrank), 1 (bf), 1(real).
[Query 463] 5 (medrank), 5 (bf), 5(real).
[Query 464] 3 (medrank), 3 (bf), 3(real).
[Query 465] 4 (medrank), 4 (bf), 4(real).
[Query 466] 3 (medrank), 3 (bf), 3(real).
[Query 467] 3 (medrank), 3 (bf), 3(real).
[Query 468] 1 (medrank), 1 (bf), 1(real).
[Query 469] 5 (medrank), 5 (bf), 5(real).
[Query 470] 4 (medrank), 4 (bf), 4(real).
[Query 471] 2 (medrank), 2 (bf), 2(real).
[Query 472] 2 (medrank), 2 (bf), 2(real).
[Query 473] 3 (medrank), 3 (bf), 3(real).
[Query 474] 5 (medrank), 5 (bf), 5(real).
[Query 475] 2 (medrank), 2 (bf), 2(real).
[Query 476] 1 (medrank), 1 (bf), 1(real).
[Query 477] 4 (medrank), 4 (bf), 4(real).
[Query 478] 4 (medrank), 4 (bf), 4(real).
[Query 479] 1 (medrank), 1 (bf), 1(real).
[Query 480] 5 (medrank), 5 (bf), 5(real).
[Query 481] 1 (medrank), 1 (bf), 1(real).
[Query 482] 1 (medrank), 1 (bf), 1(real).
[Query 483] 1 (medrank), 1 (bf), 1(real).
[Query 484] 2 (medrank), 2 (bf), 2(real).
[Query 485] 4 (medrank), 4 (bf), 4(real).
[Query 486] 4 (medrank), 4 (bf), 4(real).
[Query 487] 4 (medrank), 4 (bf), 4(real).
[Query 488] 3 (medrank), 3 (bf), 3(real).
[Query 489] 2 (medrank), 2 (bf), 2(real).
[Query 490] 1 (medrank), 1 (bf), 1(real).
[Query 491] 2 (medrank), 2 (bf), 2(real).
[Query 492] 1 (medrank), 1 (bf), 1(real).
[Query 493] 1 (medrank), 1 (bf), 1(real).
[Query 494] 4 (medrank), 4 (bf), 4(real).
[Query 495] 3 (medrank), 3 (bf), 3(real).
[Query 496] 5 (medrank), 5 (bf), 5(real).
[Query 497] 3 (medrank), 3 (bf), 3(real).
[Query 498] 2 (medrank), 2 (bf), 2(real).
[Query 499] 3 (medrank), 3 (bf), 3(real).
[Query 500] 4 (medrank), 4 (bf), 4(real).
[Query 501] 5 (medrank), 5 (bf), 5(real).
[Query 502] 4 (medrank), 4 (bf), 4(real).
[Query 503] 5 (medrank), 5 (bf), 5(real).
[Query 504] 2 (medrank), 2 (bf), 2(real).
[Query 505] 2 (medrank), 2 (bf), 2(real).
[Query 506] 1 (medrank), 1 (bf), 1(real).
[Query 507] 3 (medrank), 3 (bf), 3(real).
[Query 508] 1 (medrank), 1 (bf), 1(real).
[Query 509] 5 (medrank), 5 (bf), 5(real).
[Query 510] 4 (medrank), 4 (bf), 4(real).
[Query 511] 1 (medrank), 1 (bf), 1(real).
[Query 512] 1 (medrank), 1 (bf), 1(real).
[Query 513] 3 (medrank), 3 (bf), 3(real).
[Query 514] 4 (medrank), 4 (bf), 4(real).
[Query 515] 1 (medrank), 1 (bf), 1(real).
[Query 516] 3 (medrank), 3 (bf), 3(real).
[Query 517] 1 (medrank), 1 (bf), 1(real).
